Player,Nation,From,To,Price
Demi Akarakiri,England,Arsenal,Everton,0.0
Kain Ryan,England,Brighton,Coventry,0.0
Nicksoen Gomis,France,Sheff Utd,Toronto,0.0
Richie Laryea,Canada,Nottingham,Toronto,0.7
Bruno Jordão,Portugal,Wolverhampton,Radomiak,0.0
Charlie Wiggett,England,Newcastle Utd.,Sligo,0.0
Serge Aurier,Cote d'Ivoire,Nottingham,Galatasaray,0.1
Alfie Harrison,England,Man City,Newcastle Utd.,1.0
Bertrand Traoré,Burkina Faso,Aston Villa,Villarreal,0.0
Matz Sels,Belgium,Strasbourg,Nottingham,8.0
John Fleck,Scotland,Sheff Utd,Blackburn,0.0
Thierry Small,England,Southampton,Charlton Athletic,0.0
Adam Wharton,England,Blackburn,C. Palace,21.1
Joe Gauci,Australia,Adelaide,Aston Villa,1.5
Theo Corbeanu,Canada,Wolverhampton,Granada,1.5
Morgan Rogers,England,Middlesbrough,Aston Villa,9.4
Pablo Fornals,Spain,West Ham United,Real Betis,8.0
Isak Hansen-Aarøen,Norway,Man Utd,Werder,0.3
Rúnar Alex Rúnarsson,Iceland,Arsenal,Kobenhavn,0.0
Miguel Azeez,England,Arsenal,At. Baleares,0.0
Hugo Lloris,France,Tottenham,LAFC,0.0
Zack Steffen,United States,Man City,Colorado,0.0
Daniel Muñoz,Colombia,Genk,C. Palace,8.0
Daiki Hashioka,Japan,Sint-Truiden,Luton,2.0
Jonny Otto,Spain,Wolverhampton,PAOK,0.0
Hákon Rafn Valdimarsson,Iceland,Elfsborg,Brentford,3.0
Ivo Grbic,Croatia,Atlético,Sheff Utd,2.5
Sam Curtis,Ireland,St Patrick`s,Sheff Utd,0.0
Claudio Echeverri,Argentina,River Plate,Man City,18.5
Jezreel Davies,England,Burnley,Salford,0.0
Billy Bates,England,West Ham United,Cheshunt FC,0.0
Kosta Nedeljkovic,Serbia,Crvena Zvezda,Aston Villa,7.6
Javier Manquillo,Spain,Newcastle Utd.,Celta,0.0
Valentín Barco,Argentina,Boca Juniors,Brighton,9.2
Archie Woods,England,West Ham United,Dubai City FC,0.0
Slobodan Tedic,Serbia,Man City,Cukaricki,0.0
Mateo Mejía,Colombia,Man Utd,Sevilla,0.0
Kyle Edwards,England,Ipswich Town,Oxford,0.0
Caolan McBride,Northern Ireland,Aston Villa,Newington FC,0.0
Conor Coventry,Ireland,West Ham United,Charlton Athletic,1.2
Yunus Emre Konak,Turkey,Sivasspor,Brentford,4.5
Radu Drăgușin,Romania,Genoa,Tottenham,25.0
Gustavo Scarpa,Brazil,Nottingham,Atletico Mineiro,5.0
Finn Azaz,Ireland,Aston Villa,Middlesbrough,2.9
Nahuel Ferraresi,Italy,Man City,Sao Paulo,4.3
Ethan Fitzhugh,England,Leicester,Banbury United,0.0
Adrian Mazilu,Romania,Viitorul,Brighton,3.0
Jean-Pierre Tiéhi,France,Fulham,AEK,0.0
Evan Easton,Scotland,Celtic,Sheff Utd,0.0
Marcelo Flores,Mexico,Arsenal,Tigres,0.8
Nicolas Pépé,Cote d'Ivoire,Arsenal,Trabzonspor,0.0
Christian Marques,Portugal,Wolverhampton,Yverdon,0.0
Demarai Gray,Jamaica,Everton,Al-Ettifaq,9.3
Moussa Djenepo,Mali,Southampton,Standard,3.5
Andi Zeqiri,Switzerland,Brighton,Genk,2.8
Declan Frith,England,Aston Villa,Valencia,0.0
Eric Bailly,Cote d'Ivoire,Man Utd,Besiktas,0.0
Davinson Sánchez,Colombia,Tottenham,Galatasaray,9.5
Dylan Scicluna,Malta,Wolverhampton,West Sydney,0.0
Anthony Knockaert,France,Fulham,Valenciennes,0.0
